   8,762,447 attempts |   116 sec | 75,538 attempts / sec |  32 solutions found | searching for (0,2,0)
   8,837,801 attempts |   117 sec | 75,536 attempts / sec |  34 solutions found | searching for (0,2,0)
   8,914,944 attempts |   118 sec | 75,550 attempts / sec |  34 solutions found | searching for (0,2,0)
   8,991,496 attempts |   119 sec | 75,558 attempts / sec |  34 solutions found | searching for (0,2,0)
   9,068,095 attempts |   120 sec | 75,567 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,144,474 attempts |   121 sec | 75,573 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,220,209 attempts |   122 sec | 75,575 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,292,508 attempts |   123 sec | 75,548 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,365,271 attempts |   124 sec | 75,526 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,439,000 attempts |   125 sec | 75,511 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,513,285 attempts |   126 sec | 75,502 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,587,256 attempts |   127 sec | 75,490 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,660,496 attempts |   128 sec | 75,472 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,734,059 attempts |   129 sec | 75,457 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,806,673 attempts |   130 sec | 75,435 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,879,707 attempts |   131 sec | 75,417 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,952,619 attempts |   132 sec | 75,398 attempts / sec |  36 solutions found | searching for (0,2,0)
  10,024,643 attempts |   133 sec | 75,373 attempts / sec |  38 solutions found | searching for (0,2,0)
  10,098,616 attempts |   134 sec | 75,362 attempts / sec |  38 solutions found | searching for (0,2,0)
  10,172,373 attempts |   135 sec | 75,350 attempts / sec |  38 solutions found | searching for (0,2,0)
  10,245,674 attempts |   136 sec | 75,335 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,318,321 attempts |   137 sec | 75,316 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,390,398 attempts |   138 sec | 75,292 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,463,564 attempts |   139 sec | 75,277 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,536,211 attempts |   140 sec | 75,258 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,608,837 attempts |   141 sec | 75,239 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,681,605 attempts |   142 sec | 75,222 attempts / sec |  40 solutions found | searching for (0,2,0)
