  12,300,000 attempts |   160 sec | 76,915 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,400,000 attempts |   161 sec | 76,896 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,500,000 attempts |   163 sec | 76,894 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,600,000 attempts |   164 sec | 76,893 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,700,000 attempts |   165 sec | 76,898 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,800,000 attempts |   166 sec | 76,900 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,900,000 attempts |   168 sec | 76,900 attempts / sec |  48 solutions found | searching for (0,3,0)
  13,000,000 attempts |   169 sec | 76,902 attempts / sec |  48 solutions found | searching for (0,3,0)
  13,100,000 attempts |   170 sec | 76,902 attempts / sec |  48 solutions found | searching for (0,3,0)
  13,200,000 attempts |   172 sec | 76,909 attempts / sec |  48 solutions found | searching for (0,3,0)
  13,300,000 attempts |   173 sec | 76,919 attempts / sec |  50 solutions found | searching for (0,3,1)
  13,400,000 attempts |   174 sec | 76,929 attempts / sec |  50 solutions found | searching for (0,3,1)
  13,500,000 attempts |   175 sec | 76,941 attempts / sec |  52 solutions found | searching for (0,3,1)
  13,600,000 attempts |   177 sec | 76,947 attempts / sec |  52 solutions found | searching for (0,3,1)
  13,700,000 attempts |   178 sec | 76,954 attempts / sec |  52 solutions found | searching for (0,3,1)
  13,800,000 attempts |   179 sec | 76,947 attempts / sec |  52 solutions found | searching for (0,3,1)
  13,900,000 attempts |   181 sec | 76,954 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,000,000 attempts |   182 sec | 76,967 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,100,000 attempts |   183 sec | 76,980 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,200,000 attempts |   184 sec | 76,994 attempts / sec |  52 solutions found | searching for (0,3,1)
  14,300,000 attempts |   186 sec | 77,007 attempts / sec |  54 solutions found | searching for (0,3,1)
  14,400,000 attempts |   187 sec | 77,019 attempts / sec |  56 solutions found | searching for (0,3,1)
  14,500,000 attempts |   188 sec | 77,031 attempts / sec |  56 solutions found | searching for (0,3,1)
  14,600,000 attempts |   190 sec | 77,039 attempts / sec |  56 solutions found | searching for (0,3,1)
  14,700,000 attempts |   191 sec | 77,048 attempts / sec |  56 solutions found | searching for (0,3,1)
  14,800,000 attempts |   192 sec | 77,051 attempts / sec |  56 solutions found | searching for (0,3,1)
  14,900,000 attempts |   193 sec | 77,061 attempts / sec |  56 solutions found | searching for (0,3,1)
  15,000,000 attempts |   195 sec | 77,066 attempts / sec |  56 solutions found | searching for (0,3,1)
  15,100,000 attempts |   196 sec | 77,050 attempts / sec |  56 solutions found | searching for (0,3,1)
  15,200,000 attempts |   197 sec | 77,058 attempts / sec |  56 solutions found | searching for (0,3,2)
  15,300,000 attempts |   199 sec | 77,065 attempts / sec |  58 solutions found | searching for (0,3,2)
  15,400,000 attempts |   200 sec | 77,066 attempts / sec |  60 solutions found | searching for (0,3,2)
  15,500,000 attempts |   201 sec | 77,073 attempts / sec |  60 solutions found | searching for (0,3,2)
  15,600,000 attempts |   202 sec | 77,068 attempts / sec |  60 solutions found | searching for (0,3,2)
  15,700,000 attempts |   204 sec | 77,070 attempts / sec |  60 solutions found | searching for (0,3,2)
  15,800,000 attempts |   205 sec | 77,068 attempts / sec |  60 solutions found | searching for (0,3,2)
  15,900,000 attempts |   206 sec | 77,061 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,000,000 attempts |   208 sec | 77,056 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,100,000 attempts |   209 sec | 77,053 attempts / sec |  60 solutions found | searching for (0,3,2)
  16,200,000 attempts |   210 sec | 77,056 attempts / sec |  62 solutions found | searching for (0,3,2)
  16,300,000 attempts |   212 sec | 77,062 attempts / sec |  62 solutions found | searching for (0,3,2)
  16,400,000 attempts |   213 sec | 77,056 attempts / sec |  64 solutions found | searching for (0,3,2)
  16,500,000 attempts |   214 sec | 77,057 attempts / sec |  64 solutions found | searching for (0,3,2)
  16,600,000 attempts |   215 sec | 77,059 attempts / sec |  64 solutions found | searching for (0,3,2)
  16,700,000 attempts |   217 sec | 77,051 attempts / sec |  64 solutions found | searching for (0,3,2)
  16,800,000 attempts |   218 sec | 77,046 attempts / sec |  64 solutions found | searching for (0,3,2)
  16,900,000 attempts |   219 sec | 77,042 attempts / sec |  64 solutions found | searching for (0,3,2)
  17,000,000 attempts |   221 sec | 77,040 attempts / sec |  64 solutions found | searching for (0,3,2)
  17,100,000 attempts |   222 sec | 77,035 attempts / sec |  64 solutions found | searching for (0,3,2)
  17,200,000 attempts |   223 sec | 77,026 attempts / sec |  64 solutions found | searching for (0,3,3)
  17,300,000 attempts |   225 sec | 77,018 attempts / sec |  64 solutions found | searching for (0,3,3)
  17,400,000 attempts |   226 sec | 77,020 attempts / sec |  64 solutions found | searching for (0,3,3)
  17,500,000 attempts |   227 sec | 77,012 attempts / sec |  64 solutions found | searching for (1,0,0)
  17,600,000 attempts |   229 sec | 77,007 attempts / sec |  64 solutions found | searching for (1,0,0)
  17,700,000 attempts |   230 sec | 77,010 attempts / sec |  64 solutions found | searching for (1,0,0)
  17,800,000 attempts |   231 sec | 77,007 attempts / sec |  64 solutions found | searching for (1,0,0)
  17,900,000 attempts |   232 sec | 77,006 attempts / sec |  66 solutions found | searching for (1,0,0)
  18,000,000 attempts |   234 sec | 76,995 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,100,000 attempts |   235 sec | 76,973 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,200,000 attempts |   236 sec | 76,971 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,300,000 attempts |   238 sec | 76,976 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,400,000 attempts |   239 sec | 76,984 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,500,000 attempts |   240 sec | 76,987 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,600,000 attempts |   242 sec | 76,975 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,700,000 attempts |   243 sec | 76,973 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,800,000 attempts |   244 sec | 76,976 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,900,000 attempts |   246 sec | 76,974 attempts / sec |  68 solutions found | searching for (1,0,0)
  19,000,000 attempts |   247 sec | 76,971 attempts / sec |  68 solutions found | searching for (1,0,0)
  19,100,000 attempts |   248 sec | 76,958 attempts / sec |  68 solutions found | searching for (1,0,0)
  19,200,000 attempts |   249 sec | 76,955 attempts / sec |  68 solutions found | searching for (1,0,0)
  19,300,000 attempts |   251 sec | 76,953 attempts / sec |  70 solutions found | searching for (1,0,0)
  19,400,000 attempts |   252 sec | 76,949 attempts / sec |  72 solutions found | searching for (1,0,0)
  19,500,000 attempts |   253 sec | 76,945 attempts / sec |  72 solutions found | searching for (1,0,1)
  19,600,000 attempts |   255 sec | 76,950 attempts / sec |  72 solutions found | searching for (1,0,2)
  19,700,000 attempts |   256 sec | 76,945 attempts / sec |  72 solutions found | searching for (1,0,3)
  19,800,000 attempts |   257 sec | 76,932 attempts / sec |  72 solutions found | searching for (1,0,3)
